epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,380.963,0.51026,0.3582,0.86146,0.99658,0.992,0.995,0.89607,0.45812,0.32414,0.83533,0.0011684,0.0011684,0.0011684
44,389.066,0.50918,0.35198,0.86036,0.99262,0.992,0.995,0.89314,0.49375,0.3781,0.8475,0.0011486,0.0011486,0.0011486
45,397.185,0.50062,0.35065,0.86654,0.98642,0.992,0.995,0.86579,0.59002,0.41471,0.85884,0.0011288,0.0011288,0.0011288
46,405.298,0.48979,0.35049,0.8599,0.98209,1,0.99484,0.86144,0.56652,0.43188,0.85767,0.001109,0.001109,0.001109
47,413.354,0.48458,0.3388,0.85622,0.99007,1,0.995,0.90103,0.49654,0.32178,0.84408,0.0010892,0.0010892,0.0010892
48,421.472,0.4924,0.33119,0.85537,0.99656,1,0.995,0.88231,0.51008,0.38034,0.85276,0.0010694,0.0010694,0.0010694
49,429.599,0.4946,0.3282,0.86352,0.99206,0.99952,0.99452,0.89596,0.48488,0.3391,0.84239,0.0010496,0.0010496,0.0010496
50,437.689,0.48128,0.32446,0.85844,0.98597,0.992,0.99476,0.8905,0.48774,0.31026,0.83979,0.0010298,0.0010298,0.0010298
51,445.77,0.48765,0.33221,0.85463,0.97289,1,0.9943,0.89474,0.46792,0.29842,0.8388,0.00101,0.00101,0.00101
52,453.825,0.47083,0.3239,0.85688,0.99811,1,0.995,0.89587,0.45525,0.28081,0.8378,0.0009902,0.0009902,0.0009902
53,461.944,0.46612,0.32216,0.85261,0.99754,1,0.995,0.89553,0.5006,0.27491,0.84631,0.0009704,0.0009704,0.0009704
54,470.039,0.47041,0.31763,0.84822,0.96821,0.984,0.99291,0.8965,0.48484,0.32618,0.84546,0.0009506,0.0009506,0.0009506
55,478.198,0.47244,0.31679,0.8479,0.99523,1,0.995,0.90147,0.48757,0.27048,0.84283,0.0009308,0.0009308,0.0009308
56,486.337,0.46553,0.30701,0.84654,0.99273,1,0.995,0.89224,0.47144,0.28199,0.83381,0.000911,0.000911,0.000911
57,494.437,0.46774,0.315,0.85289,0.99206,0.99975,0.995,0.88564,0.50649,0.30256,0.85276,0.0008912,0.0008912,0.0008912
58,502.532,0.47109,0.31606,0.85523,0.99569,0.992,0.995,0.90319,0.48593,0.29069,0.84157,0.0008714,0.0008714,0.0008714
59,510.645,0.45207,0.30709,0.85203,0.99186,0.97427,0.99468,0.88418,0.54551,0.29217,0.86117,0.0008516,0.0008516,0.0008516
60,518.752,0.47952,0.31957,0.8597,0.98331,0.9425,0.9894,0.86069,0.5741,0.36683,0.87125,0.0008318,0.0008318,0.0008318
61,526.909,0.44224,0.30844,0.85208,0.96811,0.97153,0.99257,0.89152,0.51347,0.3151,0.85731,0.000812,0.000812,0.000812
62,535.023,0.45414,0.29692,0.85948,0.9674,1,0.99315,0.90109,0.46807,0.29635,0.8369,0.0007922,0.0007922,0.0007922
63,543.094,0.45667,0.29722,0.86293,0.99784,1,0.995,0.8896,0.51416,0.27269,0.84841,0.0007724,0.0007724,0.0007724
64,551.202,0.44879,0.29931,0.84452,0.99826,1,0.995,0.91874,0.4484,0.27399,0.83245,0.0007526,0.0007526,0.0007526
65,559.335,0.45509,0.29328,0.84044,0.99814,1,0.995,0.90069,0.48031,0.27084,0.84288,0.0007328,0.0007328,0.0007328
66,567.498,0.48048,0.30211,0.85725,0.99883,1,0.995,0.90683,0.45935,0.25732,0.83468,0.000713,0.000713,0.000713
